LMP,Stress,T2,dT,T2_VPV_FCC,T2_VPV_FECR_B2,T2_VPV_L12,T2_VPV_LAVES_C14,T2_VPV_M23C6,T2_VPV_M2B_CB,T2_VPV_M3B2_D5A,T2_VPV_NbC,T2_VPV_NIAL_B2,T2_VPV_SIGMA
21177.30173,250,650,554,0.90584088,1.97E-02,0,2.42E-02,4.95E-03,0,9.37E-04,1.12E-02,3.32E-02,0
22275.63019,170,700,504,0.95472415,0,0,1.40E-02,4.64E-03,0,9.37E-04,1.12E-02,1.45E-02,0
23170.26956,100,750,454,0.98362951,0,0,0,4.03E-03,0,9.36E-04,1.14E-02,0,0
21154.79174,250,650,554,0.91959489,0,0,2.05E-02,1.46E-02,0,9.36E-04,7.02E-03,3.74E-02,0
22318.69258,170,700,504,0.94979969,0,0,9.92E-03,1.43E-02,0,9.37E-04,7.08E-03,1.80E-02,0
23703.47782,100,750,454,0.97809471,0,0,0,1.38E-02,0,9.33E-04,7.15E-03,0,0
20845.33772,250,650,554,0.78387324,0.1728354,0,0,2.22E-02,1.44E-03,0,7.31E-03,4.74E-03,0
21845.5882,170,700,504,0.88734627,7.88E-02,0,0,2.19E-02,1.43E-03,0,7.29E-03,0,0
23037.78404,100,750,454,0.96485921,5.01E-03,0,0,2.15E-02,1.41E-03,0,7.27E-03,0,0
20779.69984,250,650,554,0.76129245,0.18621374,0,0,2.41E-02,1.29E-03,0,7.30E-03,1.29E-02,0
21838.05559,170,700,504,0.8454689,0.11897473,0,0,2.39E-02,1.27E-03,0,7.27E-03,0,0
23096.77411,100,750,454,0.9104149,5.75E-02,0,0,2.36E-02,1.25E-03,0,7.25E-03,0,0
